delta_teacher,reward_shift,t,k,error,curve_monotone
0.0,0.0,1.0,1,0.9999999422507033,True
0.0,0.0,1.0,2,0.6495418382604043,True
0.0,0.0,1.0,4,0.5578085591199927,True
0.0,0.0,1.0,8,0.5261682768959417,True
0.0,0.0,1.0,16,0.5125257603788115,True
0.0,0.0,1.0,32,0.5061350744807632,True
0.0,0.0,1.0,64,0.5030368815990053,True
0.0,0.0,1.0,128,0.5015109293922727,True
0.0,0.0,1.0,256,0.5007536053581877,True
0.0,0.0,3.0,1,1.0000000000000155,True
0.0,0.0,3.0,2,0.8445769724144269,True
0.0,0.0,3.0,4,0.792450160735413,True
0.0,0.0,3.0,8,0.7702397892926359,True
0.0,0.0,3.0,16,0.759894968926103,True
0.0,0.0,3.0,32,0.7548936187421326,True
0.0,0.0,3.0,64,0.7524336219399802,True
0.0,0.0,3.0,128,0.7512135480116561,True
0.0,0.0,3.0,256,0.750605962444159,True
0.0,0.0,10.0,1,1.0000000000000024,True
0.0,0.0,10.0,2,0.9503660557177092,True
0.0,0.0,10.0,4,0.928872680312979,True
0.0,0.0,10.0,8,0.9187857083340807,True
0.0,0.0,10.0,16,0.9138912610813009,True
0.0,0.0,10.0,32,0.9114795559758206,True
0.0,0.0,10.0,64,0.9102823785430145,True
0.0,0.0,10.0,128,0.9096859338057983,True
0.0,0.0,10.0,256,0.9093882443775837,True
0.0,0.1,1.0,1,0.999998263124265,True
0.0,0.1,1.0,2,0.6510530787379889,True
0.0,0.1,1.0,4,0.559802564785498,True
0.0,0.1,1.0,8,0.5284195035428421,True
0.0,0.1,1.0,16,0.5149032082236753,True
0.0,0.1,1.0,32,0.5085743026281188,True
0.0,0.1,1.0,64,0.5055066253766258,True
0.0,0.1,1.0,128,0.5039958340662539,True
0.0,0.1,1.0,256,0.5032460659310873,True
0.0,0.1,3.0,1,0.9999999999999964,True
0.0,0.1,3.0,2,0.8447635995882123,True
0.0,0.1,3.0,4,0.7928446678375427,True
0.0,0.1,3.0,8,0.7707486704466274,True
0.0,0.1,3.0,16,0.7604618393788626,True
0.0,0.1,3.0,32,0.7554895508908032,True
0.0,0.1,3.0,64,0.7530440888496078,True
0.0,0.1,3.0,128,0.7518312818645484,True
0.0,0.1,3.0,256,0.751227329493109,True
0.0,0.1,10.0,1,1.0000000000000024,True
0.0,0.1,10.0,2,0.9503732048583355,True
0.0,0.1,10.0,4,0.928912046988807,True
0.0,0.1,10.0,8,0.9188455793593536,True
0.0,0.1,10.0,16,0.9139622609396704,True
0.0,0.1,10.0,32,0.9115563166654447,True
0.0,0.1,10.0,64,0.910362066165255,True
0.0,0.1,10.0,128,0.9097670962148587,True
0.0,0.1,10.0,256,0.9094701469724622,True
0.0,0.25,1.0,1,1.0000038442429933,True
0.0,0.25,1.0,2,0.6588549201129617,True
0.0,0.25,1.0,4,0.5702297634833218,True
0.0,0.25,1.0,8,0.5402213355403831,True
0.0,0.25,1.0,16,0.5273769918986791,True
0.0,0.25,1.0,32,0.5213765088098838,True
0.0,0.25,1.0,64,0.5184709491694778,True
0.0,0.25,1.0,128,0.5170406777777496,True
0.0,0.25,1.0,256,0.5163310334183862,True
0.0,0.25,3.0,1,1.0000000000000084,True
0.0,0.25,3.0,2,0.8457372136933464,True
0.0,0.25,3.0,4,0.7949119277602598,True
0.0,0.25,3.0,8,0.7734182972409593,True
0.0,0.25,3.0,16,0.7634369095220673,True
0.0,0.25,3.0,32,0.7586176957995667,True
0.0,0.25,3.0,64,0.7562487910436401,True
0.0,0.25,3.0,128,0.7550742601520808,True
0.0,0.25,3.0,256,0.7544894443066076,True
0.0,0.25,10.0,1,1.0000000000000024,True
0.0,0.25,10.0,2,0.9504107021390906,True
0.0,0.25,10.0,4,0.9291186486786893,True
0.0,0.25,10.0,8,0.9191598532547268,True
0.0,0.25,10.0,16,0.914334982866935,True
0.0,0.25,10.0,32,0.9119592959428959,True
0.0,0.25,10.0,64,0.9107804188446293,True
0.0,0.25,10.0,128,0.9101931951527333,True
0.0,0.25,10.0,256,0.9099001337305241,True
0.0,0.5,1.0,1,0.9999967873203848,True
0.0,0.5,1.0,2,0.6849941670702989,True
0.0,0.5,1.0,4,0.6068861447218628,True
0.0,0.5,1.0,8,0.5821300023871722,True
0.0,0.5,1.0,16,0.5718164667145068,True
0.0,0.5,1.0,32,0.5670461995403986,True
0.0,0.5,1.0,64,0.5647464388274349,True
0.0,0.5,1.0,128,0.5636167108921347,True
0.0,0.5,1.0,256,0.5630567472352189,True
0.0,0.5,3.0,1,0.9999999999998322,True
0.0,0.5,3.0,2,0.8491315800012971,True
0.0,0.5,3.0,4,0.8022414260143682,True
0.0,0.5,3.0,8,0.7829251313449622,True
0.0,0.5,3.0,16,0.7740483713849606,True
0.0,0.5,3.0,32,0.769782758798354,True
0.0,0.5,3.0,64,0.7676907188218475,True
0.0,0.5,3.0,128,0.766654608128147,True
0.0,0.5,3.0,256,0.766138996023427,True
0.0,0.5,10.0,1,1.0000000000000024,True
0.0,0.5,10.0,2,0.9505441333677446,True
0.0,0.5,10.0,4,0.9298555066964054,True
0.0,0.5,10.0,8,0.9202815880657597,True
0.0,0.5,10.0,16,0.9156657575792986,True
0.0,0.5,10.0,32,0.9133983107881785,True
0.0,0.5,10.0,64,0.912274434841941,True
0.0,0.5,10.0,128,0.9117149261515821,True
0.0,0.5,10.0,256,0.9114357751221612,True
0.2,0.0,1.0,1,1.04000173436095,True
