delta_teacher,reward_misspec,t,k,error,optimal_k,post_optimum_degradation_pct,finite_optimum
0.0,0.5,1.0,1,0.9999967873203848,256,0.0,False
0.0,0.5,1.0,2,0.6849941670702989,256,0.0,False
0.0,0.5,1.0,4,0.6068861447218628,256,0.0,False
0.0,0.5,1.0,8,0.5821300023871722,256,0.0,False
0.0,0.5,1.0,16,0.5718164667145068,256,0.0,False
0.0,0.5,1.0,32,0.5670461995403986,256,0.0,False
0.0,0.5,1.0,64,0.5647464388274349,256,0.0,False
0.0,0.5,1.0,128,0.5636167108921347,256,0.0,False
0.0,0.5,1.0,256,0.5630567472352189,256,0.0,False
0.0,0.5,2.0,1,0.999999999610313,256,0.0,False
0.0,0.5,2.0,2,0.7928329751827038,256,0.0,False
0.0,0.5,2.0,4,0.7355240924091213,256,0.0,False
0.0,0.5,2.0,8,0.7135235770433723,256,0.0,False
0.0,0.5,2.0,16,0.7036668218950555,256,0.0,False
0.0,0.5,2.0,32,0.69898127537241,256,0.0,False
0.0,0.5,2.0,64,0.6966948352511736,256,0.0,False
0.0,0.5,2.0,128,0.6955652013304269,256,0.0,False
0.0,0.5,2.0,256,0.6950037215383473,256,0.0,False
0.0,0.5,3.0,1,0.9999999999998322,256,0.0,False
0.0,0.5,3.0,2,0.8491315800012971,256,0.0,False
0.0,0.5,3.0,4,0.8022414260143682,256,0.0,False
0.0,0.5,3.0,8,0.7829251313449622,256,0.0,False
0.0,0.5,3.0,16,0.7740483713849606,256,0.0,False
0.0,0.5,3.0,32,0.769782758798354,256,0.0,False
0.0,0.5,3.0,64,0.7676907188218475,256,0.0,False
0.0,0.5,3.0,128,0.766654608128147,256,0.0,False
0.0,0.5,3.0,256,0.766138996023427,256,0.0,False
0.0,0.5,5.0,1,1.0000000000000027,256,0.0,False
0.0,0.5,5.0,2,0.9039943951922582,256,0.0,False
0.0,0.5,5.0,4,0.8694062250883576,256,0.0,False
0.0,0.5,5.0,8,0.8542649893845108,256,0.0,False
0.0,0.5,5.0,16,0.8471377137024951,256,0.0,False
0.0,0.5,5.0,32,0.8436755238756596,256,0.0,False
0.0,0.5,5.0,64,0.8419687377287814,256,0.0,False
0.0,0.5,5.0,128,0.8411212968559774,256,0.0,False
0.0,0.5,5.0,256,0.8406990492385849,256,0.0,False
0.0,0.5,8.0,1,1.0000000000000024,256,0.0,False
0.0,0.5,8.0,2,0.9385443219843288,256,0.0,False
0.0,0.5,8.0,4,0.9138553321848387,256,0.0,False
0.0,0.5,8.0,8,0.9026039828364228,256,0.0,False
0.0,0.5,8.0,16,0.8972160425181501,256,0.0,False
0.0,0.5,8.0,32,0.8945777651649434,256,0.0,False
0.0,0.5,8.0,64,0.8932721183943598,256,0.0,False
0.0,0.5,8.0,128,0.8926226161453463,256,0.0,False
0.0,0.5,8.0,256,0.8922986889484528,256,0.0,False
0.0,0.5,12.0,1,1.0000000000000024,256,0.0,False
0.0,0.5,12.0,2,0.9586513391456968,256,0.0,False
0.0,0.5,12.0,4,0.9408622949625387,256,0.0,False
0.0,0.5,12.0,8,0.9325395777224421,256,0.0,False
0.0,0.5,12.0,16,0.9285072122783983,256,0.0,False
0.0,0.5,12.0,32,0.9265217466672219,256,0.0,False
0.0,0.5,12.0,64,0.9255365132341824,256,0.0,False
0.0,0.5,12.0,128,0.9250457495413006,256,0.0,False
0.0,0.5,12.0,256,0.9248008282633621,256,0.0,False
0.0,1.0,1.0,1,0.9999491236121837,4,0.8534449604566285,True
0.0,1.0,1.0,2,0.767275264203171,4,0.8534449604566285,True
0.0,1.0,1.0,4,0.7435067406620074,4,0.8534449604566285,True
0.0,1.0,1.0,8,0.7456046353713748,4,0.8534449604566285,True
0.0,1.0,1.0,16,0.7476925277459522,4,0.8534449604566285,True
0.0,1.0,1.0,32,0.7488288621844932,4,0.8534449604566285,True
0.0,1.0,1.0,64,0.7494109440934542,4,0.8534449604566285,True
0.0,1.0,1.0,128,0.7497046918563821,4,0.8534449604566285,True
0.0,1.0,1.0,256,0.7498521614708425,4,0.8534449604566285,True
0.0,1.0,2.0,1,1.000000005004237,256,0.0,False
0.0,1.0,2.0,2,0.8213977472564119,256,0.0,False
0.0,1.0,2.0,4,0.7903867706742282,256,0.0,False
0.0,1.0,2.0,8,0.7827477285136392,256,0.0,False
0.0,1.0,2.0,16,0.7800033368774275,256,0.0,False
0.0,1.0,2.0,32,0.7788325703357871,256,0.0,False
0.0,1.0,2.0,64,0.7782914256132203,256,0.0,False
0.0,1.0,2.0,128,0.7780312522438794,256,0.0,False
0.0,1.0,2.0,256,0.7779036882640809,256,0.0,False
